,avancealas,department_name,mesas_number,mesas_percentage,mesas_total,municipality_name,no_percentage,no_votes,resaltar,si_percentage,si_votes,url,votacion_percentage,votacion_personas_number,votacion_personas_total,votosnomarcados,votosnulos,votosvalidos
199,16:40:15,Bolivar,15.0,100.0,15.0,Rioviejo,30.04,639.0,5.0,69.95,1488.0,http://plebiscito.registraduria.gov.co/99PL/DPL05065ZZZZZZZZZZZZ_L1.htm,37.05,2177.0,5875.0,7,30,2127.0
200,16:50:15,Bolivar,16.0,100.0,16.0,San Cristobal,13.25,249.0,6.0,86.74,1630.0,http://plebiscito.registraduria.gov.co/99PL/DPL05072ZZZZZZZZZZZZ_L1.htm,29.29,1893.0,6462.0,9,8,1879.0
201,16:45:15,Bolivar,33.0,100.0,33.0,San Estanislao,31.38,869.0,6.0,68.61,1900.0,http://plebiscito.registraduria.gov.co/99PL/DPL05070ZZZZZZZZZZZZ_L1.htm,20.02,2804.0,14001.0,9,19,2769.0
202,16:50:15,Bolivar,25.0,100.0,25.0,San Fernando,18.0,428.0,6.0,81.99,1949.0,http://plebiscito.registraduria.gov.co/99PL/DPL05073ZZZZZZZZZZZZ_L1.htm,30.35,2409.0,7937.0,7,15,2377.0
203,16:50:15,Bolivar,51.0,100.0,51.0,San Jacinto,39.86,2477.0,8.0,60.13,3736.0,http://plebiscito.registraduria.gov.co/99PL/DPL05076ZZZZZZZZZZZZ_L1.htm,31.4,6348.0,20212.0,3,62,6213.0
204,16:45:15,Bolivar,19.0,100.0,19.0,San Jacinto Del Cauca,30.58,612.0,6.0,69.41,1389.0,http://plebiscito.registraduria.gov.co/99PL/DPL05078ZZZZZZZZZZZZ_L1.htm,29.94,2039.0,6809.0,1,18,2001.0
205,17:10:15,Bolivar,72.0,100.0,72.0,San Juan Nepomuceno,39.03,3287.0,7.0,60.96,5134.0,http://plebiscito.registraduria.gov.co/99PL/DPL05079ZZZZZZZZZZZZ_L1.htm,28.58,8618.0,30146.0,1,111,8421.0
206,17:20:15,Bolivar,27.0,100.0,27.0,San Martin De Loba,30.58,856.0,10.0,69.41,1943.0,http://plebiscito.registraduria.gov.co/99PL/DPL05082ZZZZZZZZZZZZ_L1.htm,26.49,2841.0,10724.0,9,22,2799.0
207,17:25:15,Bolivar,45.0,100.0,45.0,San Pablo,51.2,2940.0,11.0,48.79,2802.0,http://plebiscito.registraduria.gov.co/99PL/DPL05084ZZZZZZZZZZZZ_L1.htm,34.47,5958.0,17280.0,2,94,5742.0
208,16:50:15,Bolivar,29.0,100.0,29.0,Santa Catalina,23.91,553.0,8.0,76.08,1759.0,http://plebiscito.registraduria.gov.co/99PL/DPL05091ZZZZZZZZZZZZ_L1.htm,21.16,2448.0,11565.0,2,119,2312.0
209,16:40:15,Bolivar,30.0,100.0,30.0,Santa Rosa,35.04,609.0,5.0,64.95,1129.0,http://plebiscito.registraduria.gov.co/99PL/DPL05094ZZZZZZZZZZZZ_L1.htm,13.45,1771.0,13161.0,8,24,1738.0
210,16:50:15,Bolivar,50.0,100.0,50.0,Santa Rosa Del Sur,62.54,4421.0,8.0,37.45,2648.0,http://plebiscito.registraduria.gov.co/99PL/DPL05095ZZZZZZZZZZZZ_L1.htm,37.8,7238.0,19146.0,9,112,7069.0
211,17:15:15,Bolivar,35.0,100.0,35.0,Simiti,50.42,1783.0,10.0,49.57,1753.0,http://plebiscito.registraduria.gov.co/99PL/DPL05097ZZZZZZZZZZZZ_L1.htm,30.55,3652.0,11953.0,6,73,3536.0
212,17:00:15,Bolivar,18.0,100.0,18.0,Soplaviento,14.64,324.0,5.0,85.35,1888.0,http://plebiscito.registraduria.gov.co/99PL/DPL05106ZZZZZZZZZZZZ_L1.htm,28.06,2242.0,7990.0,2,20,2212.0
213,17:05:15,Bolivar,24.0,100.0,24.0,Talaigua Nuevo,35.84,1045.0,9.0,64.15,1870.0,http://plebiscito.registraduria.gov.co/99PL/DPL05110ZZZZZZZZZZZZ_L1.htm,33.49,2968.0,8861.0,5,16,2915.0
214,17:05:15,Bolivar,35.0,100.0,35.0,Tiquisio (Pto. Rico),44.75,1366.0,7.0,55.24,1686.0,http://plebiscito.registraduria.gov.co/99PL/DPL05113ZZZZZZZZZZZZ_L1.htm,24.73,3108.0,12563.0,2,22,3052.0
215,17:20:15,Bolivar,125.0,100.0,125.0,Turbaco,40.03,3957.0,10.0,59.96,5927.0,http://plebiscito.registraduria.gov.co/99PL/DPL05118ZZZZZZZZZZZZ_L1.htm,16.92,9954.0,58808.0,4,41,9884.0
216,17:10:15,Bolivar,32.0,100.0,32.0,Turbana,31.12,781.0,8.0,68.87,1728.0,http://plebiscito.registraduria.gov.co/99PL/DPL05121ZZZZZZZZZZZZ_L1.htm,18.46,2543.0,13769.0,9,17,2509.0
217,16:40:15,Bolivar,35.0,100.0,35.0,Villanueva,39.24,763.0,5.0,60.75,1181.0,http://plebiscito.registraduria.gov.co/99PL/DPL05124ZZZZZZZZZZZZ_L1.htm,13.14,1974.0,15014.0,4,14,1944.0
218,16:40:15,Bolivar,21.0,100.0,21.0,Zambrano,13.9,507.0,4.0,86.09,3140.0,http://plebiscito.registraduria.gov.co/99PL/DPL05127ZZZZZZZZZZZZ_L1.htm,42.86,3727.0,8695.0,7,46,3647.0
