,avancealas,department_name,mesas_number,mesas_percentage,mesas_total,municipality_name,no_percentage,no_votes,resaltar,si_percentage,si_votes,url,votacion_percentage,votacion_personas_number,votacion_personas_total,votosnomarcados,votosnulos,votosvalidos,idps_avg19992014
1228,16:35:15,Santander,9,100.0, 9,San Miguel,45.69,356.0,4.0,54.3,423.0,http://plebiscito.registraduria.gov.co/99PL/DPL27190ZZZZZZZZZZZZ_L1.htm,38.17,825.0,2161.0,,24,779,360.1875
1229,16:50:15,Santander,63,100.0, 63,San Vicente De Chucuri,59.23,5237.0,9.0,40.76,3604.0,http://plebiscito.registraduria.gov.co/99PL/DPL27193ZZZZZZZZZZZZ_L1.htm,37.35,9173.0,24555.0,1,252,8.841,60.6875
1230,16:35:15,Santander,9,100.0, 9,Santa Helena Del Opon,61.51,633.0,6.0,38.48,396.0,http://plebiscito.registraduria.gov.co/99PL/DPL27194ZZZZZZZZZZZZ_L1.htm,35.89,1113.0,3101.0,9,65,1.029,5.92857142857
1231,16:55:15,Santander,16,100.0, 16,Simacota,43.95,970.0,7.0,56.04,1237.0,http://plebiscito.registraduria.gov.co/99PL/DPL27196ZZZZZZZZZZZZ_L1.htm,38.82,2290.0,5898.0,7,66,2.207,19.875
1232,16:45:15,Santander,56,100.0, 56,Socorro,53.72,5049.0,7.0,46.27,4348.0,http://plebiscito.registraduria.gov.co/99PL/DPL27199ZZZZZZZZZZZZ_L1.htm,40.19,9556.0,23774.0,7,123,9.397,27.25
1233,16:40:15,Santander,20,100.0, 20,Suaita,46.01,1189.0,5.0,53.98,1395.0,http://plebiscito.registraduria.gov.co/99PL/DPL27202ZZZZZZZZZZZZ_L1.htm,32.43,2678.0,8256.0,4,65,2.584,11.9333333333
1234,16:40:15,Santander,10,100.0, 10,Surata,62.74,805.0,5.0,37.25,478.0,http://plebiscito.registraduria.gov.co/99PL/DPL27208ZZZZZZZZZZZZ_L1.htm,44.52,1343.0,3016.0,3,40,1.283,27.0666666667
1235,16:40:15,Santander,13,100.0, 13,Tona,58.71,1149.0,6.0,41.28,808.0,http://plebiscito.registraduria.gov.co/99PL/DPL27211ZZZZZZZZZZZZ_L1.htm,41.19,2039.0,4950.0,7,66,1.957,2.14285714286
1236,16:35:15,Santander,12,100.0, 12,Valle De San Jose,49.15,904.0,5.0,50.84,935.0,http://plebiscito.registraduria.gov.co/99PL/DPL27217ZZZZZZZZZZZZ_L1.htm,41.01,1902.0,4637.0,9,45,1.839,2.07142857143
1237,16:45:15,Santander,42,100.0, 42,Velez,45.73,2742.0,7.0,54.26,3254.0,http://plebiscito.registraduria.gov.co/99PL/DPL27220ZZZZZZZZZZZZ_L1.htm,37.68,6193.0,16435.0,6,160,5.996,43.3125
1238,16:35:15,Santander,4,100.0, 4,Vetas,83.8,476.0,2.0,16.19,92.0,http://plebiscito.registraduria.gov.co/99PL/DPL27219ZZZZZZZZZZZZ_L1.htm,39.56,580.0,1466.0,,10,568,0.285714285714
1239,16:50:15,Santander,18,100.0, 18,Zapatoca,61.36,1563.0,5.0,38.63,984.0,http://plebiscito.registraduria.gov.co/99PL/DPL27223ZZZZZZZZZZZZ_L1.htm,35.56,2620.0,7366.0,7,51,2.547,3.35714285714
1240,16:40:15,Sucre,25,100.0, 25,Caimito,22.66,623.0,7.0,77.33,2126.0,http://plebiscito.registraduria.gov.co/99PL/DPL28020ZZZZZZZZZZZZ_L1.htm,32.13,2814.0,8757.0,9,24,2.749,10.8666666667
1241,16:30:15,Sucre,11,100.0, 11,Chalan,34.9,466.0,5.0,65.09,869.0,http://plebiscito.registraduria.gov.co/99PL/DPL28045ZZZZZZZZZZZZ_L1.htm,31.66,1394.0,4403.0,5,19,1.335,160.733333333
1242,16:55:15,Sucre,107,100.0, 107,Corozal,38.99,6973.0,10.0,61.0,10907.0,http://plebiscito.registraduria.gov.co/99PL/DPL28040ZZZZZZZZZZZZ_L1.htm,39.67,18206.0,45886.0,80,206,17.880,485.625
1243,16:45:15,Sucre,27,100.0, 27,Coveñas,49.96,1915.0,7.0,50.03,1918.0,http://plebiscito.registraduria.gov.co/99PL/DPL28041ZZZZZZZZZZZZ_L1.htm,35.69,3898.0,10921.0,3,41,3.833,11.9333333333
1244,16:40:15,Sucre,24,100.0, 24,El Roble,22.04,633.0,7.0,77.95,2238.0,http://plebiscito.registraduria.gov.co/99PL/DPL28042ZZZZZZZZZZZZ_L1.htm,37.84,2912.0,7694.0,1,22,2.871,9.13333333333
